t[s]	U[V]	I[A]	Piro1[mA]	Piro2[mA]	Piro1[C]	Piro2[C]
0,000	-0,010	0,020	0,001	-0,016	700,029	649,138
0,010	6,278	0,014	0,001	-0,015	700,050	649,167
0,020	11,035	12,519	0,002	-0,015	700,083	649,159
0,030	11,024	21,471	0,002	-0,015	700,084	649,151
0,040	11,021	21,894	0,001	-0,015	700,044	649,163
0,050	11,021	21,874	0,001	-0,015	700,080	649,163
0,060	11,022	21,835	0,002	-0,016	700,083	649,145
0,070	11,018	21,828	0,002	-0,015	700,088	649,173
0,080	11,020	21,814	0,000	-0,015	700,024	649,195
0,090	11,022	21,798	0,001	-0,014	700,037	649,211
0,100	11,024	21,777	0,001	-0,015	700,053	649,196
0,110	11,031	21,754	0,001	-0,015	700,040	649,163
0,120	11,030	21,731	0,001	-0,014	700,058	649,203
0,130	11,037	21,700	0,001	-0,015	700,069	649,187
0,140	11,036	21,675	0,001	-0,015	700,040	649,187
0,150	11,047	21,633	0,001	-0,015	700,082	649,178
0,160	11,044	21,598	0,001	-0,015	700,047	649,169
0,170	11,046	21,572	0,001	-0,015	700,038	649,194
0,180	11,048	21,535	0,001	-0,014	700,060	649,226
0,190	11,051	21,490	0,000	-0,015	700,019	649,192
0,200	11,054	21,462	0,002	-0,015	700,088	649,185
0,210	11,049	21,427	0,001	-0,015	700,065	649,181
0,220	11,043	21,400	0,001	-0,015	700,061	649,193
0,230	11,043	21,361	0,001	-0,015	700,056	649,189
0,240	11,038	21,351	0,001	-0,015	700,033	649,175
0,250	11,034	21,317	0,001	-0,016	700,080	649,145
0,260	11,025	21,293	0,000	-0,015	700,003	649,167
0,270	11,026	21,274	0,001	-0,015	700,058	649,193
0,280	11,022	21,248	0,002	-0,014	700,084	649,204
0,290	11,026	21,227	0,000	-0,015	700,026	649,160
0,300	11,026	21,210	0,002	-0,015	700,092	649,178
0,310	11,028	21,193	0,001	-0,015	700,043	649,186
0,320	11,028	21,186	0,001	-0,015	700,074	649,200
0,330	11,035	21,168	0,002	-0,015	700,083	649,153
0,340	11,038	21,162	0,001	-0,015	700,056	649,178
0,350	11,044	21,135	0,000	-0,015	700,017	649,177
0,360	11,044	21,115	0,001	-0,015	700,032	649,193
0,370	11,049	21,105	0,000	-0,014	700,006	649,225
0,380	11,048	21,088	0,000	-0,015	700,003	649,154
0,390	11,056	21,074	0,002	-0,015	700,083	649,154
0,400	11,052	21,064	0,001	-0,015	700,055	649,161
0,410	11,055	21,048	0,001	-0,016	700,062	649,106
0,420	11,050	21,030	0,000	-0,016	700,006	649,138
0,430	11,047	21,011	0,000	-0,015	700,027	649,164
0,440	11,043	21,003	0,001	-0,015	700,046	649,154
0,450	11,041	20,994	0,000	-0,015	700,026	649,148
0,460	11,042	20,970	0,001	-0,015	700,062	649,157
0,470	11,036	20,966	0,000	-0,016	700,020	649,138
0,480	11,027	20,946	0,001	-0,015	700,076	649,170
0,490	11,026	20,924	0,001	-0,015	700,063	649,166
0,500	11,026	20,891	0,001	-0,015	700,067	649,188
0,510	11,026	20,895	0,002	-0,014	700,100	649,218
0,520	11,023	20,893	0,001	-0,014	700,038	649,207
0,530	11,030	20,870	0,001	-0,014	700,059	649,254
0,540	11,032	20,851	0,001	-0,014	700,034	649,233
0,550	11,040	20,840	0,001	-0,016	700,042	649,133
0,560	11,048	20,812	0,001	-0,015	700,064	649,171
0,570	11,040	20,803	0,001	-0,015	700,039	649,167
0,580	11,047	20,777	0,000	-0,015	700,026	649,177
0,590	11,051	20,771	0,000	-0,015	700,011	649,156
0,600	11,054	20,771	0,000	-0,016	700,021	649,112
0,610	11,052	20,748	0,001	-0,015	700,058	649,202
0,620	11,058	20,740	0,002	-0,015	700,105	649,197
0,630	11,060	20,734	0,002	-0,014	700,101	649,212
0,640	11,052	20,720	0,001	-0,016	700,062	649,127
0,650	11,053	20,697	0,000	-0,015	700,020	649,161
0,660	11,048	20,683	0,001	-0,014	700,046	649,214
0,670	11,040	20,670	0,001	-0,015	700,037	649,192
0,680	11,034	20,661	0,001	-0,015	700,041	649,184
0,690	11,034	20,646	0,001	-0,014	700,037	649,211
0,700	11,028	20,641	0,001	-0,015	700,070	649,184
0,710	11,028	20,628	0,001	-0,015	700,071	649,177
0,720	11,027	20,609	0,001	-0,015	700,067	649,161
0,730	11,034	20,592	0,001	-0,015	700,068	649,175
0,740	11,033	20,579	0,002	-0,014	700,085	649,225
0,750	11,036	20,551	0,002	-0,015	700,103	649,175
0,760	11,039	20,555	0,001	-0,015	700,051	649,177
0,770	11,040	20,532	0,001	-0,015	700,081	649,168
0,780	11,046	20,527	0,002	-0,015	700,085	649,180
0,790	11,047	20,499	0,002	-0,015	700,109	649,173
0,800	11,046	20,489	0,001	-0,015	700,050	649,159
0,810	11,054	20,485	0,000	-0,016	700,025	649,142
0,820	11,061	20,463	0,002	-0,016	700,086	649,145
0,830	11,063	20,457	0,002	-0,016	700,088	649,120
0,840	11,054	20,452	0,001	-0,014	700,042	649,225
0,850	11,060	20,435	0,001	-0,016	700,050	649,147
0,860	11,055	20,429	0,001	-0,015	700,080	649,160
0,870	11,050	20,421	0,002	-0,015	700,103	649,186
0,880	11,042	20,413	0,001	-0,015	700,051	649,170
0,890	11,039	20,401	0,001	-0,015	700,081	649,151
0,900	11,031	20,378	0,001	-0,015	700,038	649,177
0,910	11,037	20,361	0,001	-0,015	700,079	649,199
0,920	11,031	20,343	0,001	-0,015	700,082	649,197
0,930	11,033	20,343	0,002	-0,015	700,114	649,198
0,940	11,028	20,335	0,002	-0,015	700,099	649,181
0,950	11,028	20,310	0,001	-0,015	700,036	649,192
0,960	11,028	20,301	0,001	-0,015	700,078	649,193
0,970	11,036	20,285	0,001	-0,015	700,072	649,178
0,980	11,039	20,293	0,001	-0,014	700,054	649,218
0,990	11,046	20,268	0,002	-0,015	700,089	649,153
1,000	11,050	20,260	0,001	-0,016	700,078	649,096
1,010	11,054	20,248	0,001	-0,015	700,052	649,187
1,020	11,057	20,241	0,001	-0,015	700,071	649,161
1,030	11,057	20,224	0,001	-0,015	700,057	649,157
1,040	11,057	20,200	0,001	-0,015	700,053	649,194
1,050	11,059	20,185	0,000	-0,015	700,027	649,188
1,060	11,059	20,182	0,001	-0,014	700,035	649,229
1,070	11,057	20,170	0,001	-0,015	700,051	649,172
1,080	11,057	20,161	0,001	-0,015	700,043	649,178
1,090	11,053	20,146	0,000	-0,015	700,019	649,157
1,100	11,050	20,130	0,001	-0,015	700,063	649,188
1,110	11,039	20,112	0,001	-0,006	700,063	649,668
1,120	11,036	20,119	0,001	0,060	700,036	653,277
1,130	11,036	20,105	0,001	0,156	700,063	658,603
1,140	11,027	20,083	0,001	0,252	700,059	663,860
1,150	11,033	20,068	0,001	0,356	700,065	669,594
1,160	11,032	20,061	0,001	0,426	700,052	673,420
1,170	11,032	20,041	0,001	0,495	700,082	677,237
1,180	11,037	20,033	0,001	0,572	700,049	681,458
1,190	11,039	20,034	0,009	0,656	700,491	686,077
1,200	11,043	20,010	0,062	0,733	703,429	690,322
1,210	11,055	19,993	0,138	0,811	707,592	694,596
1,220	11,057	19,988	0,231	0,889	712,703	698,890
1,230	11,058	19,974	0,344	1,000	718,905	704,996
1,240	11,059	19,974	0,460	1,095	725,298	710,216
1,250	11,057	19,946	0,576	1,178	731,679	714,765
1,260	11,058	19,933	0,689	1,275	737,874	720,126
1,270	11,061	19,922	0,827	1,370	745,485	725,337
1,280	11,061	19,909	0,949	1,466	752,200	730,656
1,290	11,061	19,885	1,071	1,542	758,902	734,786
1,300	11,051	19,898	1,198	1,612	765,879	738,633
1,310	11,054	19,864	1,330	1,681	773,147	742,478
1,320	11,044	19,868	1,464	1,779	780,497	747,854
1,330	11,042	19,845	1,586	1,866	787,210	752,632
1,340	11,037	19,837	1,714	1,954	794,269	757,477
1,350	11,032	19,822	1,838	2,043	801,098	762,389
1,360	11,034	19,813	1,974	2,139	808,566	767,653
1,370	11,038	19,797	2,108	2,200	815,929	770,978
1,380	11,034	19,791	2,232	2,276	822,745	775,170
1,390	11,041	19,762	2,352	2,364	829,336	780,040
1,400	11,040	19,757	2,483	2,461	836,588	785,331
1,410	11,052	19,739	2,606	2,538	843,336	789,584
1,420	11,048	19,732	2,719	2,606	849,548	793,317
1,430	11,050	19,719	2,816	2,680	854,878	797,415
1,440	11,055	19,702	2,908	2,765	859,962	802,074
1,450	11,061	19,694	2,977	2,850	863,728	806,724
1,460	11,064	19,684	3,035	2,919	866,941	810,552
1,470	11,064	19,672	3,089	2,983	869,877	814,084
1,480	11,063	19,660	3,144	3,052	872,920	817,866
1,490	11,064	19,645	3,197	3,132	875,812	822,237
1,500	11,063	19,628	3,244	3,192	878,443	825,580
1,510	11,053	19,607	3,294	3,250	881,174	828,769
1,520	11,058	19,591	3,347	3,312	884,078	832,158
1,530	11,051	19,592	3,403	3,387	887,172	836,260
1,540	11,043	19,580	3,461	3,439	890,333	839,133
1,550	11,039	19,552	3,518	3,499	893,480	842,452
1,560	11,037	19,540	3,579	3,558	896,831	845,712
1,570	11,037	19,529	3,653	3,627	900,912	849,485
1,580	11,039	19,526	3,720	3,672	904,616	851,985
1,590	11,037	19,499	3,788	3,739	908,357	855,635
1,600	11,041	19,499	3,859	3,801	912,262	859,060
1,610	11,042	19,475	3,945	3,859	916,995	862,259
1,620	11,043	19,457	4,029	3,922	921,578	865,686
1,630	11,048	19,458	4,107	3,984	925,894	869,105
1,640	11,055	19,448	4,191	4,038	930,482	872,068
1,650	11,057	19,429	4,273	4,111	935,019	876,095
1,660	11,062	19,419	4,366	4,174	940,129	879,558
1,670	11,062	19,407	4,450	4,238	944,767	883,116
1,680	11,065	19,391	4,535	4,297	949,419	886,353
1,690	11,066	19,372	4,620	4,359	954,083	889,744
1,700	11,069	19,358	4,715	4,432	959,309	893,787
1,710	11,063	19,355	4,799	4,494	963,961	897,167
1,720	11,063	19,331	4,877	4,556	968,222	900,587
1,730	11,061	19,325	4,954	4,615	972,457	903,804
1,740	11,054	19,319	5,046	4,688	977,517	907,836
1,750	11,055	19,301	5,124	4,752	981,840	911,345
1,760	11,050	19,275	5,197	4,817	985,853	914,911
1,770	11,046	19,260	5,268	4,878	989,750	918,310
1,780	11,038	19,254	5,348	4,945	994,165	921,975
1,790	11,037	19,250	5,421	5,008	998,151	925,418
1,800	11,037	19,246	5,494	5,072	1002,187	928,965
1,810	11,041	19,224	5,565	5,130	1006,064	932,149
1,820	11,041	19,190	5,638	5,199	1010,077	935,959
1,830	11,046	19,193	5,717	5,255	1014,461	939,045
1,840	11,050	19,173	5,789	5,316	1018,371	942,378
1,850	11,051	19,149	5,865	5,371	1022,598	945,388
1,860	11,056	19,136	5,943	5,438	1026,879	949,105
1,870	11,058	19,125	6,030	5,498	1031,624	952,411
1,880	11,064	19,110	6,113	5,565	1036,239	956,060
1,890	11,065	19,101	6,193	5,620	1040,616	959,078
1,900	11,069	19,093	6,275	5,678	1045,144	962,294
1,910	9,021	18,935	6,365	5,738	1050,096	965,593
1,920	5,064	15,798	6,449	5,807	1054,681	969,393
1,930	4,223	9,145	6,529	5,869	1059,082	972,820
1,940	4,399	7,383	6,607	5,929	1063,386	976,082
1,950	4,409	7,607	6,699	5,986	1068,436	979,242
1,960	4,409	7,638	6,782	6,040	1072,997	982,209
1,970	4,407	7,649	6,856	6,085	1077,069	984,665
1,980	4,399	7,656	6,930	6,126	1081,155	986,918
1,990	4,393	7,672	7,000	6,168	1085,016	989,251
2,000	4,386	7,676	7,070	6,207	1088,838	991,365
2,010	4,386	7,660	7,125	6,243	1091,885	993,378
2,020	4,388	7,679	7,176	6,273	1094,662	995,032
2,030	4,390	7,687	7,223	6,303	1097,259	996,670
2,040	4,393	7,680	7,275	6,331	1100,143	998,228
2,050	4,402	7,675	7,314	6,357	1102,289	999,645
2,060	4,403	7,665	7,354	6,372	1104,487	1000,468
2,070	4,409	7,689	7,390	6,392	1106,464	1001,547
2,080	4,416	7,689	7,426	6,409	1108,455	1002,522
2,090	4,418	7,690	7,460	6,427	1110,278	1003,489
2,100	4,424	7,689	7,487	6,441	1111,763	1004,261
2,110	4,436	7,688	7,515	6,458	1113,306	1005,199
2,120	4,435	7,688	7,541	6,471	1114,762	1005,886
2,130	4,430	7,684	7,566	6,487	1116,125	1006,762
2,140	4,434	7,685	7,589	6,494	1117,395	1007,178
2,150	4,434	7,694	7,612	6,507	1118,637	1007,896
2,160	4,433	7,688	7,632	6,516	1119,778	1008,378
2,170	4,424	7,679	7,651	6,530	1120,815	1009,166
2,180	4,419	7,692	7,670	6,537	1121,849	1009,535
2,190	4,412	7,690	7,687	6,545	1122,774	1009,968
2,200	4,414	7,692	7,703	6,553	1123,671	1010,417
2,210	4,401	7,688	7,720	6,563	1124,586	1010,952
2,220	4,400	7,693	7,735	6,569	1125,439	1011,283
2,230	4,394	7,681	7,749	6,576	1126,186	1011,670
2,240	4,393	7,675	7,764	6,584	1127,018	1012,094
2,250	4,395	7,663	7,781	6,592	1127,944	1012,555
2,260	4,400	7,675	7,794	6,597	1128,687	1012,810
2,270	4,406	7,677	7,805	6,600	1129,293	1013,011
2,280	4,409	7,691	7,817	6,607	1129,909	1013,391
2,290	4,420	7,676	7,828	6,612	1130,548	1013,637
2,300	4,423	7,672	7,840	6,618	1131,201	1013,995
2,310	4,429	7,672	7,851	6,623	1131,826	1014,240
2,320	4,432	7,674	7,864	6,628	1132,518	1014,557
2,330	4,437	7,668	7,874	6,633	1133,083	1014,807
2,340	4,436	7,662	7,882	6,640	1133,493	1015,191
2,350	4,441	7,669	7,891	6,640	1134,006	1015,187
2,360	4,434	7,661	7,899	6,642	1134,440	1015,334
2,370	4,436	7,659	7,909	6,647	1135,006	1015,559
2,380	4,429	7,664	7,923	6,654	1135,743	1015,962
2,390	4,423	7,666	7,931	6,654	1136,184	1015,970
2,400	4,422	7,675	7,935	6,657	1136,420	1016,124
2,410	4,414	7,654	7,940	6,657	1136,720	1016,141
2,420	4,409	7,661	7,950	6,662	1137,275	1016,406
2,430	4,402	7,664	7,956	6,662	1137,601	1016,395
2,440	4,396	7,659	7,961	6,665	1137,835	1016,590
2,450	4,396	7,642	7,967	6,667	1138,198	1016,679
2,460	4,395	7,647	7,974	6,669	1138,550	1016,797
2,470	4,393	7,651	7,982	6,669	1138,983	1016,790
2,480	4,403	7,648	7,987	6,673	1139,296	1017,021
2,490	4,410	7,656	7,993	6,674	1139,636	1017,097
2,500	4,416	7,650	8,000	6,676	1139,999	1017,200
2,510	4,420	7,650	8,006	6,678	1140,356	1017,281
2,520	4,432	7,645	8,011	6,681	1140,609	1017,438
2,530	4,427	7,642	8,014	6,682	1140,758	1017,488
2,540	4,431	7,641	8,020	6,682	1141,114	1017,499
2,550	4,438	7,644	8,023	6,684	1141,250	1017,638
2,560	4,435	7,649	8,031	6,683	1141,690	1017,578
2,570	4,440	7,638	8,034	6,683	1141,880	1017,574
2,580	4,438	7,642	8,037	6,684	1142,031	1017,593
2,590	4,435	7,653	8,041	6,686	1142,260	1017,720
2,600	4,428	7,636	8,047	6,685	1142,571	1017,691
2,610	4,424	7,638	8,050	6,688	1142,764	1017,829
2,620	4,416	7,634	8,051	6,686	1142,829	1017,735
2,630	4,408	7,631	8,056	6,690	1143,076	1017,970
2,640	4,407	7,625	8,058	6,690	1143,191	1017,957
2,650	4,400	7,628	8,066	6,692	1143,608	1018,059
2,660	4,392	7,645	8,068	6,692	1143,748	1018,057
2,670	4,395	7,638	8,072	6,694	1143,976	1018,196
2,680	4,400	7,625	8,073	6,691	1144,033	1018,029
2,690	4,399	7,616	8,077	6,693	1144,238	1018,134
2,700	4,405	7,608	8,081	6,692	1144,477	1018,062
2,710	4,412	7,627	8,085	6,695	1144,677	1018,216
2,720	4,421	7,614	8,088	6,695	1144,832	1018,240
2,730	4,418	7,618	8,089	6,695	1144,869	1018,234
2,740	4,429	7,614	8,089	6,694	1144,917	1018,170
2,750	4,434	7,615	8,092	6,696	1145,079	1018,253
2,760	4,437	7,604	8,093	6,696	1145,113	1018,294
2,770	4,439	7,606	8,096	6,698	1145,253	1018,408
2,780	4,439	7,607	8,099	6,698	1145,452	1018,402
2,790	4,438	7,606	8,098	6,697	1145,409	1018,358
2,800	4,437	7,609	8,098	6,698	1145,405	1018,377
2,810	4,429	7,604	8,103	6,695	1145,653	1018,245
2,820	4,428	7,598	8,105	6,696	1145,800	1018,297
2,830	4,419	7,608	8,109	6,697	1145,979	1018,337
2,840	4,415	7,609	8,108	6,698	1145,955	1018,414
2,850	4,410	7,606	8,109	6,697	1146,015	1018,309
2,860	4,403	7,606	8,114	6,698	1146,264	1018,406
2,870	4,399	7,598	8,115	6,698	1146,302	1018,402
2,880	4,394	7,603	8,119	6,699	1146,527	1018,469
2,890	4,395	7,584	8,119	6,696	1146,540	1018,307
2,900	4,399	7,599	8,120	6,699	1146,623	1018,427
2,910	4,402	7,595	8,124	6,698	1146,826	1018,392
2,920	4,408	7,584	8,124	6,698	1146,809	1018,366
2,930	4,416	7,595	8,124	6,697	1146,834	1018,332
2,940	4,418	7,593	8,124	6,700	1146,839	1018,475
2,950	4,425	7,586	8,126	6,699	1146,905	1018,419
2,960	4,431	7,588	8,129	6,698	1147,091	1018,369
2,970	4,436	7,598	8,129	6,696	1147,088	1018,296
2,980	4,440	7,584	8,129	6,699	1147,102	1018,445
2,990	4,437	7,581	8,128	6,699	1147,057	1018,434
3,000	4,439	7,576	8,128	6,698	1147,062	1018,417
3,010	4,437	7,579	8,130	6,698	1147,162	1018,387
3,020	4,436	7,570	8,134	6,697	1147,378	1018,347
3,030	4,433	7,577	8,134	6,697	1147,393	1018,356
3,040	4,426	7,580	8,135	6,696	1147,399	1018,262
3,050	4,416	7,578	8,135	6,696	1147,421	1018,289
3,060	4,408	7,558	8,134	6,695	1147,396	1018,237
3,070	4,406	7,563	8,135	6,695	1147,403	1018,210
3,080	4,399	7,567	8,134	6,694	1147,387	1018,177
3,090	4,400	7,565	8,137	6,694	1147,552	1018,197
3,100	4,399	7,557	8,136	6,693	1147,475	1018,105
3,110	4,397	7,560	8,135	6,693	1147,446	1018,138
3,120	4,401	7,572	8,138	6,694	1147,595	1018,195
3,130	4,408	7,562	8,140	6,695	1147,710	1018,219
3,140	4,407	7,556	8,139	6,691	1147,670	1018,025
3,150	4,417	7,555	8,140	6,696	1147,714	1018,304
3,160	4,422	7,552	8,140	6,694	1147,710	1018,168
3,170	4,428	7,551	8,140	6,696	1147,713	1018,274
3,180	4,433	7,572	8,140	6,696	1147,703	1018,267
3,190	4,433	7,544	8,139	6,695	1147,649	1018,206
3,200	4,436	7,547	8,139	6,694	1147,662	1018,183
3,210	4,434	7,553	8,139	6,693	1147,644	1018,106
3,220	4,440	7,560	8,140	6,694	1147,702	1018,189
3,230	4,436	7,553	8,140	6,693	1147,724	1018,098
3,240	4,433	7,546	8,139	6,692	1147,671	1018,061
3,250	4,428	7,544	8,141	6,692	1147,739	1018,035
3,260	4,425	7,532	8,143	6,691	1147,890	1017,981
3,270	4,414	7,542	8,145	6,691	1147,965	1017,996
3,280	4,406	7,545	8,145	6,690	1147,962	1017,950
3,290	4,405	7,534	8,145	6,689	1147,985	1017,887
3,300	4,403	7,550	8,146	6,688	1148,018	1017,850
3,310	4,392	7,539	8,146	6,687	1148,005	1017,803
3,320	4,395	7,535	8,140	6,688	1147,719	1017,822
3,330	4,397	7,534	8,139	6,686	1147,642	1017,744
3,340	4,403	7,540	8,139	6,688	1147,621	1017,815
3,350	4,407	7,534	8,139	6,685	1147,622	1017,651
3,360	4,410	7,522	8,140	6,685	1147,706	1017,675
3,370	4,417	7,506	8,140	6,684	1147,674	1017,617
3,380	4,424	7,530	8,140	6,684	1147,695	1017,632
3,390	4,430	7,528	8,140	6,682	1147,710	1017,492
3,400	4,429	7,524	8,140	6,684	1147,720	1017,603
3,410	4,436	7,522	8,141	6,682	1147,740	1017,498
3,420	4,437	7,519	8,139	6,682	1147,624	1017,499
3,430	4,433	7,530	8,135	6,679	1147,398	1017,329
3,440	4,439	7,528	8,135	6,680	1147,444	1017,394
3,450	4,434	7,512	8,134	6,678	1147,380	1017,275
3,460	4,429	7,520	8,134	6,677	1147,366	1017,221
3,470	4,420	7,514	8,134	6,677	1147,374	1017,259
3,480	4,424	7,503	8,130	6,678	1147,145	1017,283
3,490	4,413	7,515	8,128	6,676	1147,055	1017,190
3,500	4,410	7,524	8,130	6,678	1147,123	1017,265
3,510	4,400	7,521	8,127	6,677	1146,963	1017,209
3,520	4,403	7,509	8,124	6,674	1146,835	1017,065
3,530	4,398	7,502	8,123	6,674	1146,786	1017,094
3,540	4,399	7,511	8,124	6,672	1146,808	1016,977
3,550	4,402	7,510	8,122	6,673	1146,698	1017,033
3,560	4,401	7,521	8,120	6,672	1146,574	1016,943
3,570	4,409	7,506	8,120	6,671	1146,599	1016,925
3,580	4,412	7,498	8,119	6,669	1146,572	1016,820
3,590	4,422	7,488	8,120	6,669	1146,594	1016,777
3,600	4,425	7,501	8,120	6,667	1146,584	1016,673
3,610	4,433	7,491	8,116	6,668	1146,399	1016,759
3,620	4,438	7,503	8,114	6,665	1146,271	1016,572
3,630	4,440	7,494	8,114	6,664	1146,262	1016,535
3,640	4,435	7,502	8,111	6,664	1146,096	1016,504
3,650	4,440	7,500	8,109	6,666	1145,976	1016,603
3,660	4,437	7,500	8,109	6,662	1145,970	1016,417
3,670	4,431	7,504	8,108	6,663	1145,936	1016,490
3,680	4,425	7,491	8,105	6,662	1145,756	1016,385
3,690	4,427	7,483	8,104	6,661	1145,713	1016,332
3,700	4,424	7,496	8,104	6,660	1145,720	1016,276
3,710	4,416	7,494	8,104	6,659	1145,724	1016,254
3,720	4,406	7,487	8,103	6,659	1145,674	1016,243
3,730	4,401	7,471	8,103	6,657	1145,660	1016,140
3,740	4,400	7,479	8,099	6,656	1145,458	1016,062
3,750	4,397	7,480	8,103	6,655	1145,650	1016,050
3,760	4,400	7,476	8,101	6,655	1145,528	1016,021
3,770	4,401	7,472	8,096	6,654	1145,303	1015,970
3,780	4,405	7,500	8,095	6,654	1145,202	1015,991
3,790	4,413	7,467	8,092	6,653	1145,047	1015,890
3,800	4,414	7,478	8,088	6,653	1144,862	1015,899
3,810	4,424	7,477	8,089	6,650	1144,883	1015,758
3,820	4,427	7,484	8,085	6,652	1144,657	1015,876
3,830	4,436	7,463	8,083	6,647	1144,557	1015,602
3,840	4,433	7,474	8,078	6,648	1144,312	1015,642
3,850	4,436	7,472	8,079	6,648	1144,320	1015,632
3,860	4,435	7,468	8,074	6,645	1144,078	1015,501
3,870	4,436	7,464	8,071	6,643	1143,887	1015,350
3,880	4,436	7,478	8,068	6,644	1143,735	1015,393
3,890	4,436	7,465	8,069	6,642	1143,774	1015,284
3,900	4,425	7,445	8,069	6,644	1143,770	1015,409
3,910	4,419	7,467	8,068	6,640	1143,738	1015,205
3,920	4,414	7,458	8,067	6,640	1143,697	1015,178
3,930	4,415	7,453	8,060	6,640	1143,323	1015,192
3,940	4,408	7,458	8,056	6,638	1143,107	1015,096
3,950	4,398	7,459	8,057	6,634	1143,119	1014,857
3,960	4,393	7,447	8,053	6,635	1142,920	1014,915
3,970	4,396	7,447	8,052	6,633	1142,883	1014,790
3,980	4,397	7,459	8,050	6,631	1142,732	1014,715
3,990	4,405	7,458	8,046	6,631	1142,546	1014,702
4,000	4,408	7,450	8,047	6,629	1142,604	1014,622
4,010	4,414	7,457	8,045	6,629	1142,498	1014,584
4,020	4,417	7,449	8,041	6,627	1142,268	1014,495
4,030	4,423	7,452	8,041	6,626	1142,259	1014,413
4,040	4,423	7,440	8,041	6,624	1142,259	1014,318
4,050	4,429	7,453	8,038	6,624	1142,071	1014,321
4,060	4,435	7,441	8,038	6,621	1142,083	1014,169
4,070	4,440	7,435	8,033	6,620	1141,838	1014,116
4,080	4,439	7,444	8,030	6,616	1141,673	1013,889
4,090	4,443	7,449	8,032	6,620	1141,760	1014,092
4,100	4,436	7,452	8,032	6,618	1141,770	1013,964
4,110	4,432	7,442	8,029	6,617	1141,588	1013,934
4,120	4,426	7,440	8,023	6,616	1141,243	1013,893
4,130	4,421	7,447	8,016	6,615	1140,890	1013,804
4,140	4,414	7,440	8,016	6,614	1140,895	1013,764
4,150	4,412	7,430	8,016	6,614	1140,881	1013,787
4,160	4,399	7,426	8,012	6,612	1140,652	1013,684
4,170	4,407	7,428	8,010	6,613	1140,554	1013,735
4,180	4,397	7,424	8,006	6,612	1140,328	1013,662
4,190	4,398	7,425	8,002	6,611	1140,124	1013,601
4,200	4,400	7,425	8,000	6,608	1139,982	1013,445
4,210	4,405	7,430	7,995	6,607	1139,716	1013,398
4,220	4,416	7,420	7,994	6,605	1139,672	1013,285
4,230	4,419	7,418	7,993	6,605	1139,629	1013,293
4,240	4,421	7,429	7,994	6,605	1139,664	1013,260
4,250	4,424	7,431	7,994	6,604	1139,652	1013,202
4,260	4,433	7,427	7,989	6,602	1139,375	1013,106
4,270	4,436	7,420	7,986	6,601	1139,206	1013,080
4,280	4,439	7,425	7,984	6,601	1139,122	1013,035
4,290	4,440	7,423	7,980	6,598	1138,902	1012,899
4,300	4,441	7,406	7,975	6,597	1138,646	1012,857
4,310	4,441	7,407	7,973	6,598	1138,534	1012,877
4,320	4,437	7,419	7,971	6,595	1138,386	1012,729
4,330	4,428	7,415	7,968	6,593	1138,244	1012,616
4,340	4,424	7,410	7,969	6,593	1138,307	1012,641
4,350	4,420	7,414	7,966	6,591	1138,133	1012,509
4,360	4,412	7,428	7,962	6,590	1137,925	1012,475
4,370	4,410	7,402	7,961	6,587	1137,855	1012,278
4,380	4,398	7,403	7,959	6,589	1137,725	1012,415
4,390	4,398	7,410	7,957	6,586	1137,625	1012,204
4,400	4,400	7,411	7,958	6,587	1137,702	1012,276
4,410	4,397	7,398	7,958	6,584	1137,674	1012,139
4,420	4,399	7,401	7,957	6,583	1137,643	1012,063
4,430	4,408	7,402	7,958	6,583	1137,668	1012,088
4,440	4,417	7,407	7,956	6,583	1137,601	1012,065
4,450	4,419	7,410	7,953	6,583	1137,401	1012,044
4,460	4,429	7,390	7,948	6,582	1137,161	1012,035
4,470	4,434	7,404	7,946	6,578	1137,048	1011,801
4,480	4,431	7,394	7,942	6,580	1136,792	1011,878
4,490	4,439	7,393	7,938	6,576	1136,578	1011,679
4,500	4,438	7,393	7,932	6,574	1136,284	1011,593
4,510	4,438	7,399	7,928	6,573	1136,030	1011,541
4,520	4,439	7,411	7,924	6,573	1135,834	1011,532
4,530	4,434	7,391	7,921	6,572	1135,642	1011,477
4,540	4,432	7,371	7,921	6,571	1135,661	1011,430
4,550	4,430	7,380	7,921	6,570	1135,675	1011,363
4,560	4,423	7,387	7,921	6,567	1135,628	1011,212
4,570	4,417	7,390	7,917	6,569	1135,415	1011,317
4,580	4,408	7,389	7,912	6,567	1135,170	1011,158
4,590	4,406	7,368	7,910	6,568	1135,033	1011,219
4,600	4,401	7,372	7,907	6,566	1134,890	1011,117
4,610	4,395	7,380	7,904	6,564	1134,729	1011,029
4,620	4,395	7,391	7,901	6,562	1134,541	1010,902
4,630	4,401	7,375	7,899	6,563	1134,460	1010,956
4,640	4,406	7,373	7,896	6,561	1134,300	1010,833
4,650	4,407	7,375	7,894	6,560	1134,156	1010,824
4,660	4,420	7,375	7,891	6,556	1134,014	1010,603
4,670	4,420	7,373	7,890	6,557	1133,945	1010,654
4,680	4,427	7,379	7,885	6,556	1133,684	1010,568
4,690	4,429	7,379	7,885	6,557	1133,672	1010,617
4,700	4,439	7,367	7,884	6,555	1133,643	1010,525
4,710	4,436	7,362	7,885	6,552	1133,663	1010,374
4,720	4,438	7,363	7,880	6,550	1133,415	1010,241
4,730	4,443	7,373	7,879	6,551	1133,365	1010,287
